
-49.2,64.3,1071.9,2026-03-03T12:59:15.474001800
48.4,22.5,923.9,2026-03-03T12:59:15.492519200
48.2,68.1,1063.1,2026-03-03T12:59:15.492519200
-47.2,55.9,1044.6,2026-03-03T12:59:15.493519400
-32.0,54.2,1087.3,2026-03-03T12:59:15.493519400
-14.8,40.0,998.5,2026-03-03T12:59:15.493519400
6.1,55.1,1032.8,2026-03-03T12:59:15.493519400
-20.7,21.6,987.4,2026-03-03T12:59:15.494776400
-27.9,13.8,1099.4,2026-03-03T12:59:15.494776400
-36.9,34.7,911.5,2026-03-03T13:06:46.638521
40.2,41.4,989.1,2026-03-03T13:06:46.655074600
10.9,98.7,932.2,2026-03-03T13:06:46.656073200
-13.4,94.1,999.6,2026-03-03T13:06:46.656073200
40.0,72.3,1015.0,2026-03-03T13:06:46.656073200
-0.8,27.3,922.1,2026-03-03T13:06:46.657074600
49.8,82.7,999.2,2026-03-03T13:06:46.657074600
-47.6,24.6,975.4,2026-03-03T13:06:46.657074600
45.0,41.9,906.1,2026-03-03T13:10:37.675405600
46.0,71.7,907.2,2026-03-03T13:10:37.694977200
45.3,45.2,1088.6,2026-03-03T13:10:37.694977200
-2.2,95.8,1082.3,2026-03-03T13:10:37.694977200
-19.6,50.8,1044.8,2026-03-03T13:10:37.695977700
7.9,61.7,1060.8,2026-03-03T13:10:37.695977700
1.4,41.0,962.5,2026-03-03T13:10:37.695977700
-19.3,67.8,1061.9,2026-03-03T13:10:37.696976
